Ward_Name,Zone,surface_temp,urban_index,veg_index,water_index,health_score,city_rank
Jalahalli,Rajarajeshwari Nagar,35.69347127663031,-0.0320607697065814,0.1863845582525972,-0.16682319130068,70.19,21
Sarvagna Nagar,East,35.44933057588564,-0.031729174809205,0.1884859098606089,-0.1730991464969351,69.77,22
Konena Agrahara,East,35.47110344086994,-0.0270085307257368,0.1638004736829482,-0.1514573648420066,69.28,23
Kodigehalli,Yelahanka,35.015812408152144,-0.0194198332571517,0.1285705964142713,-0.1261015644424409,69.26,24
C V Raman Nagar,East,34.95129830853007,-0.0207647401226021,0.1443367466353671,-0.1400211474351188,69.14,25
Shantala Nagar,East,35.707718371482166,-0.0266210854590574,0.1491537144310722,-0.1385040659951486,68.59,26
Koramangala,South,35.72291696061085,-0.0264932633826982,0.1487140196279154,-0.1386172248045559,68.27,27
Ganesh Mandir ward,South,36.13132525763791,-0.0244504192256419,0.1291524294452027,-0.1235089985225186,65.18,28
Domlur,East,35.66749412522506,-0.022361601873311,0.1429053601386908,-0.1387743404721707,65.12,29
Bellanduru,Mahadevapura,35.28240466912835,-0.0190993421958931,0.1491766260037084,-0.1488100476478794,64.02,30
Yediyur,South,35.731140619952775,-0.0153255310024004,0.1176280914765806,-0.1173784927910462,63.06,31
Rajamahal Guttahalli,West,35.7017291490618,-0.0173576652220984,0.1265906084681122,-0.1272951031558956,62.7,32
Pulikeshinagar,East,35.93992204221961,-0.0213063517406447,0.1417899354240782,-0.14001479861727,62.01,33
Yelahanka Satellite Town,Yelahanka,35.29278015368304,-0.0192499786451413,0.1527456039445453,-0.1566791875006048,61.86,34
Girinagar,South,36.10421959087685,-0.018115117162429,0.1201185740545724,-0.1219152248023541,60.67,35
Karisandra,South,36.01268244305609,-0.0165493957786142,0.1233128038419275,-0.1242569468904548,60.55,36
J P Nagar,South,36.01133785981694,-0.0163851609200778,0.1223517090763714,-0.1253188251306377,59.79,37
Kadu Malleshwar Ward,West,35.92569691391645,-0.0167487332172643,0.1299988330116915,-0.1325381178851191,59.78,38
Nagapura,West,35.927699739625616,-0.0151868967045538,0.1210630822942302,-0.1247891935075705,59.68,39
Malleswaram,West,36.04677614265379,-0.017637363890251,0.1506107395019564,-0.1469735665825798,59.36,40
Sanjaya Nagar,East,35.77120394005976,-0.0172491042218465,0.1350516446720735,-0.1404413647073663,59.3,41
Puttenahalli,Bommanahalli,35.74991480666845,-0.0121322293438831,0.1202617508300641,-0.1258828302348593,58.86,42
Sarakki,South,35.93787808916077,-0.0146128645893689,0.1219533970312487,-0.126722572770328,58.83,43
Chowdeswari Ward,Yelahanka,35.70776567223196,-0.020145991680849,0.1682782223551335,-0.1692754976183628,58.78,44
Kacharkanahalli,East,35.08438219211634,-0.0072318098962998,0.1146821160981054,-0.1283639779860988,58.62,45
Shanthi Nagar,East,36.459471684787246,-0.0212806703478568,0.1546320856888217,-0.1499351682380788,58.13,46
Nagarabhavi,West,36.09284429572752,-0.0157171133221298,0.1301656938745958,-0.1331035779660727,58.02,47
HSR Layout,Bommanahalli,35.65070174929002,-0.0107741795237281,0.1272602325626624,-0.1330871516781478,58.01,48
Nandini Layout,West,36.60520892000369,-0.0191767748003568,0.132347256541523,-0.1299632477968338,57.97,49
Prakash Nagar,West,36.47350292308212,-0.0153965868215155,0.1211860492857734,-0.1204573426320133,57.86,50
Kumaraswamy Layout,South,36.13385032147686,-0.014877150707138,0.1268347567789222,-0.130793143514156,57.37,51
K R Puram,Mahadevapura,35.756564200255966,-0.0138185150868244,0.1440161817085716,-0.151646694025915,55.91,52
Hampi Nagar,South,36.76810303606427,-0.0172472340054132,0.1215031239932162,-0.1227855089654939,55.85,53
Attiguppe,South,36.36891049341897,-0.0141790964941135,0.1186244624111521,-0.1242506348575912,55.79,54
